BuildingNumber	GradeTested	ReadingPercentMet	MathPercentMet	WritingPercentMet	SciencePercentMet
4503	8	68.4	52.4		55.8
4504	8				
4504	10	89.5		87.5	
3319	6	84.2	66.8		
3319	7	82.1	62.7	76.1	
3319	8	72.5	59.6		73
3617	3	76.2	82		
3617	4	82.4	69.6	80.4	
3617	5	84.4	87.5		86.7
2558	3	61.1	43.5		
2558	4	88	58.1	67.2	
2558	5	67.6	48.9		64
3371	6	69.4	62.7		
3371	7	69.6	51.2	69.1	
3371	8	81.7	50		77.8
4431	10	91.7		91.7	
2484	3	66.7	76.2		
2484	4	50	64.3	42.9	
2484	5	68.4	68.4		68.4
2484	6	53.3	46.7		
2484	7	69.2	69.2	76.9	
2484	8				
1528	10	58.8		75	
2509	3	65.5	58.2		
2509	4	54	39.7	44.4	
2509	5	51.4	47.1		65.7
2911	3	70.6	64.5		
2911	4	78.7	70.2	59.6	
2911	5	77	71.3		79.3
3147	10	84.1		84.5	
3270	3	78.7	80.3		
3270	4	78.7	66.7	61.3	
3270	5	65.7	55.2		64.2
4207	6	70.9	55		
4207	7	83.1	55.6	83	
4207	8	62.2	42.6		60.5
4549	6	64	38.7		
4549	7	76	60.6	69.1	
4549	8	61.6	62.8		76.5
1646	4				
1646	5				
1646	6				
1646	7				
1646	8				
1646	10				
1801	6	61.1	33.3		
1801	7	53.4	32.9	42.5	
1801	8	52.7	21.6		44.6
1801	10	75.6		74.4	
2724	10	77.4		84	
2829	3	73.4	65.6		
2829	4	67.1	46.6	60.3	
2829	5	78.3	72.5		75.4
2912	3	61.5	65.4		
2912	4	54.1	30.6	51.4	
2912	5	49.5	53.6		56.3
3148	3	55.7	40.5		
3148	4	67.2	37.3	47.8	
3148	5	79	55.6		60.5
3149	3	43.2	52.7		
3149	4	61.1	32.6	40	
3149	5	65.2	58		62.9
3320	6	74.9	59		
3320	7	64	52.6	69	
3320	8	64.3	56.5		67.3
3618	3	62.5	44.4		
3618	4	50	36.2	41.5	
3618	5	52.2	47.8		64.2
3736	3	66.1	56.5		
3736	4	60	38.5	61.5	
3736	5	72.3	61.4		51.8
3785	6	66.8	56.1		
3785	7	60.1	44.3	70.6	
3785	8	63.3	55.5		69.7
3822	3	53.3	41.3		
3822	4	63.5	36.5	47.1	
3822	5	52.2	44.9		33.3
3823	3	64	52		
3823	4	64.9	44.6	56.8	
3823	5	77.2	67.1		72.2
3970	3	69.6	68.8		
3970	4	59.6	52.1	57	
3970	5	77.7	59.6		71.3
3971	3	64.5	67.1		
3971	4	81.8	70.8	80	
3971	5	74.1	75.6		70.7
3994	3	70	62.5		
3994	4	72.3	63.6	73.9	
3994	5	69.2	67.3		55.6
3995	3	79.7	65.8		
3995	4	81.3	66.3	77.2	
3995	5	84.4	66.2		83.1
4042	10	65.6		67.6	
4051	6	59.3	45.2		
4051	7	70.7	52.1	72.6	
4051	8	73.2	57.2		66.9
4162	10	84		84.2	
4163	3	68.9	67.6		
4163	4	68.8	50.6	62.3	
4163	5	80	72		82.7
4209	6	76.4	64.7		
4209	7	79.5	61.7	77.9	
4209	8	74.5	74.8		78.7
4299	3	52.8	46.1		
4299	4	52.1	41.9	52.1	
4299	5	62.6	35.2		51.6
4380	3	72.7	73.6		
4380	4	77.6	66.4	75	
4380	5	65.4	72.2		72.9
4445	3	66.3	71.9		
4445	4	66.3	53.8	55.8	
4445	5	72.8	59.2		58.3
4498	6	57	55.1		
4498	7	59.8	51.6	57.4	
4498	8	68	66.1		78.4
4499	3	87.4	86.6		
4499	4	91.4	88.8	84.5	
4499	5	91.9	85.5		92.7
4523	10	84.1		89.5	
4560	3	71.4	76.4		
4560	4	78.1	65.8	63.7	
4560	5	81.6	73.2		86.5
4561	6	78.3	80.1		
4561	7	79.4	80.2	89.8	
4561	8	76.2	84.7		85.8
2725	3	77.8	76.8		
2725	4	86.4	81.8	76.1	
2725	5	82	77.5		89.2
3474	3	77.5	91.5		
3474	4	88.2	69.1	80.9	
3474	5	76.3	71		87.1
4182	3	88.6	87.5		
4182	4	79.8	63.5	79.8	
4182	5	88.2	80.3		86.8
4508	6	86.5	77.4		
4508	7	87.2	77.4	86.6	
4508	8	90.6	84		91
4563	3	90.5	81.9		
4563	4	87.7	75.4	86	
4563	5	78.9	64.9		82
1597	3	50	57.1		
1597	4	80	60	65	
1597	5	93.3	46.7		80
1597	6	58.3	58.3		
1597	7	71.1	55.3	65.8	
1597	8	69	58.6		82.8
1597	10	86.4		82.6	
1836	5	100	100		100
1836	6	100	100		
1836	7	100	90	98.3	
1836	8	95	83.3		100
1836	10	100		100	
1875	3	56.3	31.3		
1875	4	80	33.3	60	
1875	5	81.3	62.5		81.3
1875	6	92.3	50		
1875	7	84.8	42.4	81.8	
1875	8	84.6	50		84.6
1875	10	92.6		96.6	
2415	8				
2415	10	87.8		86.4	
2671	5	83.1	67.9		74.6
2671	6	77.4	71.9		
2671	7	82.2	52.2	79.6	
2671	8	63.1	57.7		67.1
2910	3	59.9	65.8		
2910	4	72.7	49	51.3	
3018	3	61.3	54		
3018	4	69.7	57.7	78.2	
3545	5	66.9	48.6		60.8
3545	6	68.1	56.1		
3545	7	71.3	51.9	73.1	
