SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathPercentMetStandard	MathPercentLevel1	MathPercentLevel2	MathPercentLevel3	MathPercentLevel4	MathPercentNotTested	MathPercentNotMet	MathPercentMet2003Standard	MathPercentWAAS	ReadingTotalTested	ReadingPercentMetStandard	ReadingPercentLevel1	ReadingPercentLevel2	ReadingPercentLevel3	ReadingPercentLevel4	ReadingPercentNotTested	ReadingPercentNotMet	ReadingPercentMet2003Standard	ReadingPercentWAAS	WritingTotalTested	WritingPercentMetStandard	WritingPercentNotTested	WritingPercentNotMet	WritingPercentWAAS	ListeningTotalTested	ListeningPercentMetStandard	ListeningPercentNotTested	ListeningPercentNotMet	ListeningPercentWAAS	ScienceTotalTested	SciencePercentMetStandard	SciencePercentLevel1	SciencePercentLevel2	SciencePercentLevel3	SciencePercentLevel4	SciencePercentNotTested	SciencePercentNotMet	SciencePercentWAAS	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2191	Whitman Elementary	4	58	51.7	20.7	27.6	27.6	24.1	0.0	48.3	51.7	0.0	58	67.2	12.1	20.7	46.6	20.7	0.0	32.8	58.6	0.0	58	50.0	0.0	50.0	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	39.7	19.0	12.1	29.3	2.76	2.55	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2191	Whitman Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	71	16.7	41.7	40.3	16.7	0.0	1.4	83.3	0.0	NA	NA	NA	NA	NA	NA	1.72
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2218	Browne Elementary	4	69	67.1	5.7	25.7	31.4	35.7	1.4	32.9	62.9	0.0	69	76.8	5.8	17.4	55.1	21.7	0.0	23.2	69.6	0.0	69	71.0	0.0	29.0	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	51.4	22.9	12.9	12.9	2.93	2.94	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2218	Browne Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	62	20.3	25.0	51.6	20.3	0.0	3.1	79.7	0.0	NA	NA	NA	NA	NA	NA	1.89
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2258	Hutton Elementary	4	69	78.6	5.7	14.3	25.7	52.9	1.4	21.4	72.9	0.0	69	91.4	0.0	7.1	42.9	48.6	1.4	8.6	85.7	0.0	69	85.7	1.4	14.3	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	74.3	14.3	4.3	7.1	3.37	3.23	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2258	Hutton Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	60	50.0	5.0	45.0	48.3	1.7	0.0	50.0	0.0	NA	NA	NA	NA	NA	NA	2.47
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2296	Wilson Elementary	4	49	80.0	0.0	18.0	28.0	52.0	2.0	20.0	78.0	0.0	49	94.0	0.0	4.0	38.0	56.0	2.0	6.0	88.0	0.0	49	88.0	2.0	12.0	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	78.0	10.0	8.0	4.0	3.46	3.28	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2296	Wilson Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	26	41.4	13.8	34.5	37.9	3.4	10.3	58.6	0.0	NA	NA	NA	NA	NA	NA	2.10
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2312	Finch Elementary	4	74	67.6	13.5	18.9	21.6	45.9	0.0	32.4	62.2	2.6	74	78.4	1.4	20.3	39.2	39.2	0.0	21.6	70.3	2.6	74	62.2	0.0	37.8	2.6	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	50.0	20.3	17.6	12.2	3.16	3.00	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2312	Finch Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	80	27.2	35.8	35.8	27.2	0.0	1.2	72.8	3.6	NA	NA	NA	NA	NA	NA	1.89
