BuildingNumber	GradeTested	ReadingPercent	MathPercentMet	WritingPercentMet	SciencePercentMet
4351	5	62.9	39.5		13.7
4351	6	61.8	25.2		
4351	7	65.5	47	69.8	
4351	8	75.5	58.2		56.4
4352	3	73.1	54.5		
4352	4	72.7	56.3	59.4	
4450	10	54.1	13.6	75	7.9
2390	10	86.4	44	93.4	55.1
3321	3	85.3	85.3		
3321	4	83.1	81.9	59	
3321	5	79.5	55.7		37.5
3321	6	62.1	70.5		
3786	3	84.7	86.7		
3786	4	63.6	52.8	56.6	
3786	5	68.2	38.6		28.4
3786	6	59.1	56.5		
3891	7	54.4	59.4	75.6	
3891	8	68.5	56.2		59.2
2302	8				
2302	10	87.2	53.8	79.5	79.5
2830	3	72.5	62.5		
2830	4	73.1	42.3	57.7	
2830	5	66	58		24
2830	6	46.3	19.5		
4011	7	60.5	51.2	74.4	
4011	8	68.8	34.4		56.3
2135	3				
2135	4				
2135	5				
2135	6				
2135	7				
2135	8				
2319	3	39	28.8		
2319	4	42.7	28	25.3	
2319	5	33.3	40.5		23.8
2369	3	70.3	57.8		
2369	4	63.2	55.3	39.5	
2369	5	61	62.7		42.4
2370	3	54.5	43.6		
2370	4	49.1	41.1	49.1	
2370	5	52.2	52.2		15.2
2416	10	71.3	29.1	81.4	36.7
2726	3	56	48		
2726	4	47.9	27.1	64.6	
2726	5	57.1	38.1		29
2831	6	51.8	31		
2831	7	43.3	22.2	51.9	
2831	8	53.5	32.3		38.4
2914	3	67.1	48.6		
2914	4	58.7	52.2	54.3	
2914	5	63.9	44.4		18.1
3019	3	73.1	65.6		
3019	4	62.4	51.8	36.5	
3019	5	60.8	52.9		17.6
3151	10	77.1	45.3	85.6	46.2
3211	3	79.5	68.2		
3211	4	53.6	57.1	62.5	
3211	5	58	46		14
3475	6	56.3	35.4		
3475	7	58.2	37.3	74.7	
3475	8	65.8	57.7		49.7
3658	3	64.8	53.4		
3658	4	62.8	59	59	
3658	5	64.6	50.6		29.1
2560	7	70.8	41.7	45.8	
2560	8	64.9	36.8		35.1
2560	10	76.5	30.8	92.5	32
4264	3	81	54.8		
4264	4	78.9	47.4	63.2	
4264	5	65.4	65.4		42.3
4264	6	66.7	52.9		
2281	10	88.9	24.4	92.4	46.5
2762	3	54.9	26.5		
2762	4	50.9	30.4	43.8	
2762	5	62.2	55.1		23.5
2762	6	50.6	36.8		
3969	7	62.9	54.8	71	
3969	8	61.9	44.3		45.4
2561	6	73.8	82.3		
2561	7	73.2	65.7	89.9	
2561	8	65.9	38.6		44.3
2561	10	78.2	33.7	90.8	44.2
2915	3	69.1	42.6		
2915	4	74.7	41.4	56.3	
2915	5	76.3	35.5		36.8
1795	10	71.4	57.1	57.7	
3513	3				
3513	4	80	90	90	
3513	5				
3514	3	76.5	72.7		
3514	5				
3546	10	85.7	41.2	91.2	55.9
3824	7	77	69.1	87.1	
3824	8	65.9	47.9		61.7
4176	4	70.1	53	68.7	
4176	5	76.4	46.6		48.6
4176	6	69.6	52.5		
2266	10	80.1	31.1	84.6	39
2596	3	77.4	61.3		
2596	4	73.3	73.3	73.3	
2596	5	80	55		35
2624	3	69	65.5		
2624	4	45.5	38.2	30.9	
2624	5	58.5	34.1		24.4
2691	3	58.7	52.2		
2691	4	44.1	41.4	35.1	
2691	5	58.7	43.5		23.9
2913	3	77.4	58.1		
2913	4	87	69.6	65.2	
2913	5	68.6	60		42.9
2916	6	57.6	38.4		
2916	7	64.4	45.4	73	
2916	8	68.7	30.7		49.7
3082	3	75	66.2		
3082	4	80.5	53.2	71.4	
3082	5	73.4	56.3		54.7
3322	6	66.7	52.9		
3322	7	56.8	41.7	65.3	
3322	8	58.8	53.6		49
3323	3	70.8	54.2		
3323	4	50	22.1	35.3	
3323	5	60	50		15
3578	3	64	68.6		
3578	4	66.3	57.3	52.8	
3578	5	66.3	60.5		36
2666	3	56.3	43.8		
2666	4	36.7	33.3	36.7	
2666	5	32.1	14.3		7.1
2666	6	44.4	22.2		
2666	7	61.5	34.6	84.6	
2562	3	32.9	26.6		
2562	4	39	13.6	15.3	
2562	5	52.8	32.1		11.3
2788	10	69	24.4	64.3	30
4213	6	27.8	35.2		
4213	7	30.9	36.4	69.1	
4213	8	31.8	39.4		12.1
2502	3				
2502	4				
2502	5				
2563	3	77.8	68.9		
2563	4	72.5	72.5	67.5	
2727	10	72	31	86.4	32.6
2966	3	76.7	70		
2966	4	48.6	55.4	56.2	
3083	3	76.5	52		
3083	4	68.2	49.5	51.4	
3212	3	77.6	72.9		
3212	4	73.4	62	91.1	
3372	6				
3372	8	61.8	33.3		52.4
3372	10				
3659	3	77.8	66.7		
3659	4	77.8	52.8	63.9	
3659	6				
3659	7				
3659	8				
4095	5	73.4	50.5		47.3
4095	6	71.8	43.6		
4095	7	62	56.8	81.7	
2233	3				
2233	4				
2233	5				
2233	6				
2233	7				
2233	8				
2233	10	72.7	45.5	80	63.6
2161	3	50	30		
2161	4	55.6	38.9	44.4	
2161	5	78.6	50		35.7
2161	6	69	44.8		
2162	7	31.8	33.3	81	
2162	8	44.1	26.5		29.4
2162	10	67.9	28.6	88.5	7.4
2602	3				
2602	4				
2602	5				
2602	6				
2006	3				
2006	4	75	50	41.7	
2006	5	72.2	5.6		5.6
2006	6	78.6	42.9		
2006	7	84.2	47.4	63.2	
2006	8	72.7	54.5		54.5
2006	10	79.2	44	92.3	53.8
2136	3				
2136	4				
2136	5				
2136	6				
2136	7				
2136	8				
2603	10	69.2		76.9	
2789	3	79.3	51.7		
2789	4	64	20	44	
2789	5	88	48		20
3579	10	81.8	40.6	90.9	38.7
2267	6	56.9	48.2		
2267	7	55	49.8	63.7	
2267	8	64.5	50.6		37.5
2790	3	25.2	24.3		
2790	4	33.7	18.5	40.2	
2790	5	26.4	23.6		11.1
2917	10	65.2	22.7	81.5	25.3
2967	3	23.5	20.8		
2967	4	23	11.6	26.7	
2967	5	32.8	18.9		15
3085	3	42.6	38		
3085	4	45.6	37.1	46.1	
3085	5	50.6	33.3		24.7
3324	6	29.7	11.1		
3324	7	41.4	20.8	37.3	
3324	8	50.7	18.8		28.3
3425	3	61.8	70.9		
3425	4	75.5	62.3	81.1	
3425	5	56.4	50.9		27.3
3515	3	53.9	57.4		
3515	4	39.5	35.1	34.2	
3515	5	36.2	28.4		14.9
3912	6				
3912	7				
3912	8	11.8	0		0
3912	10	54.3	3.7	70	0
4041	3	86.2	77.1		
4041	4	80.3	72.1	74.6	
4041	5	79.3	64.8		56.6
4155	3	70.2	57		
4155	4	74.8	63.9	64.6	
4155	5	72.7	49.1		39.1
4526	3	31.4	34.3		
4526	4	43.2	31.6	41.1	
4526	5	57.1	46.9		34.7
4555	3	35.5	16.8		
4555	4	33.9	21.9	28.6	
4555	5	43.5	21.3		6.5
1754	10				
2198	6				
2198	7	46.3	33.3	60.7	
2198	8	55.2	23.9		29.3
2918	3	61.5	44.9		
2918	4	61	49.4	70.1	
2918	5	60.3	34.2		19.2
2918	6	64.1	59.4		
3086	3	52	44		
3086	4	65	55	65	
3086	5	83.3	58.3		41.7
3086	6	50	54.2		
3272	10	76.7	31.9	86	22.6
3325	3	37	29.6		
3325	4	58.8	47.1	41.2	
3325	5	41.7	46.7		15
3325	6	45.5	57.6		
2007	3				
2007	4				
3214	3				
3214	4				
3214	5				
3214	6				
3214	7				
3214	8				
3214	10				
2241	7	44.8	31	72.4	
2241	8	71.4	25		50
2241	10	90.3	41.4	100	43.3
3087	3	64.3	53.6		
3087	4	86.4	59.1	77.3	
3087	5	65.2	30.4		17.4
3087	6	47.6	52.4		
4222	5	38.7	26.2		7
4222	6	37.5	25.5		
4254	10	69.4	32.8	75.8	29.8
4490	3	28.4	47.3		
4490	4	28	34	23.3	
2510	7	54.6	30.4	57.7	
2510	8	61.1	30.5		31.3
2919	3	54.5	53.1		
3088	10	73.3	35.6	85.8	35.8
3426	3	55	40		
3426	4	39.1	17.4	30.4	
4536	4	47.6	39.7	31.7	
4536	5	39.2	26.5		14.2
4536	6	51.8	46.4		
4536	7				
4536	8				
2792	3	52.9	33.3		
2792	4	35.9	21.8	25.6	
2792	5	42.2	42.2		15.6
3273	10	63.9	20.8	86.5	27.6
3909	6	39.8	26.1		
3909	7	50	30.6	59.7	
3909	8	41	24.4		29.5
2693	3	92.3	53.8		
2693	4				
2693	5	46.2	30.8		23.1
2968	10	90	50	90	50
1518	10				
2694	3	33.3	33.3		
2694	4	44.8	51.7	34.5	
2694	5	42.9	40.5		9.5
3089	6	30.3	15.2		
3089	7	24.2	21.2	60.6	
3089	8	38.5	11.5		3.8
3089	10	58.3	20	79.2	41.7
