,School_ID,School District,School,Enrollment,LowSES
,2077,Damman School District,Damman Elementary,47,0
,2355,Evaline School District,Evaline Elementary School,47,0
,5106,Kennewick School District,Phoenix High School,47,57.89
,1680,North Mason School District,PACE Academy (OPTIONS),48,60.78
,1914,Lynden School District,Lynden Special Services,48,0
,2863,Creston School District,Creston Jr-Sr High School,48,36.96
,5058,Sedro-Woolley School District,Good Beginnings Center,48,68.18
,5076,Kelso School District,Special Education,48,48.94
,5254,Highline School District,Gateway to College,48,34
,3459,Mount Pleasant School District,Mount Pleasant Elementary School,49,2.13
,4174,Quillayute Valley School District,Quileute Tribal School,49,0
,4214,Inchelium School District,Inchelium Middle School,49,75.51
,5293,Lind School District,Lind-Ritzville Middle School,49,64
,1730,Snohomish School District,Snohomish Center,50,18.97
,1831,Toppenish School District,Toppenish Pre School,50,94.62
,2603,Inchelium School District,Inchelium High School,50,65.91
,3050,Sprague School District,Sprague Elementary,50,50
,1653,Central Kitsap School District,New Frontiers Jr High,51,70.69
,1677,North Kitsap School District,Special Programs,51,0
,2097,Great Northern School District,Great Northern Elementary,51,0
,3799,Office of the Governor (Sch for Blind),Washington State School for the Blind,51,54.39
,3913,Longview School District,Longview School District Special Services,51,61.36
,3113,Harrington School District,Harrington High School,52,51.02
,1971,Ephrata School District,Sage Hills High School,53,86.67
,2862,Creston School District,Creston Elementary,53,32.73
,1804,Lake Washington School District,Futures School,54,34.38
,2292,North River School District,North River School,54,29.63
,1682,South Whidbey School District,Bayview Alternative School,55,43.28
,1519,Edmonds School District,Edmonds Independent Learning,56,20.99
,1928,Burlington-Edison School District,Burlington-Edison Alternative School,56,73.77
,2174,Waitsburg School District,Preston Hall Middle School,56,43.86
,2903,Lind School District,Lind-Ritzville High School,56,50
,1528,Washougal School District,Excelsior High School,57,56.16
,1769,Cheney School District,Three Springs High School,57,51.61
,2041,Institutions,Firwood,57,2
,5151,Okanogan School District,Okanogan Outreach Alternative School,57,64.71
,5256,Prescott School District,JUBILEE LEADERSHIP ACADEMY,57,8
,2921,Lake Quinault School District,Lake Quinault Elementary,58,89.06
,5118,Newport School District,Newport Parent Partnership,58,54.9
,2895,Garfield School District,Garfield Elementary,59,45.45
,4232,Wellpinit School District,Wellpinit Middle School,59,89.66
,5181,Snoqualmie Valley School District,Snoqualmie Access,59,9.09
,1506,Quincy School District,Quincy High Tech High,60,95.59
,2958,Northport School District,Northport High School,60,60
,3214,Kahlotus School District,Kahlotus Elem & High,60,64.91
,1903,Central Kitsap School District,East Side Alt,61,63.93
,3496,Seattle Public Schools,Interagency Detention School,62,34.09
,4005,Darrington School District,Darrington Middle School,62,54.55
,5161,Bremerton School District,Special Services,62,37.18
,1724,Chimacum School District,PI Program,63,43.06
,5013,Steilacoom Hist. School District,PreSchool and ECEAP,63,17.81
,5035,Cheney School District,HomeWorks,63,26.56
,5246,Woodland School District,Lewis River Academy,63,36.21
,5295,Cascade School District,Columbia Virtual Academy-Cascade,63,0
,1795,Woodland School District,TEAM High School,64,47.78
,2473,Wilson Creek School District,Wilson Creek High,64,54.72
